scripCode,companyName,change,change,change
543768,NMDC Steel Ltd,-1.08,-1.49,-2.03
534091,MULTI COMMODITY EXCHANGE OF INDIA LTD.,12.9,1.8,-56.25
542920,Sumitomo Chemical India Ltd,-0.2,0.2,-2.45
532659,IDFC LIMITED,-0.4,-0.55,-0.65
543299,Shyam Metalics and Energy Ltd,-3.8,-5.95,-20.45
500027,ATUL LTD.,-6.85,21.2,-22.55
539876,Crompton Greaves Consumer Electricals Ltd,0.7,-0.25,0.45
500043,BATA INDIA LTD.,2.7,5.45,-4.55
532756,CIE Automotive India Ltd,-10.25,-11.75,-10.75
543664,Kaynes Technology India Ltd,-87.8,-82.2,31.9
520056,TVS Holdings Ltd,73.8,72.1,156.3
541556,RITES Ltd,-1.1,-7,-13.95
532371,TATA TELESERVICES (MAHARASHTRA) LTD.,-0.23,-0.86,-2.36
543308,Krishna Institute of Medical Sciences Ltd,16.8,11.8,-24.55
543635,Piramal Pharma Ltd,-1.4,-2,2.5
532439,Olectra Greentech Ltd,-27,-45.8,-27.45
524200,VINATI ORGANICS LTD.-$,10.1,7.05,-0.4
532926,Jyothy Labs Ltd,3.2,-4.7,1.5
543335,Aptus Value Housing Finance India Ltd,4.5,2.85,2
500084,CESC LTD.,0.8,0.5,-2.2
542399,Chalet Hotels Ltd,30.25,-0.65,-7.5
544012,Cello World Ltd,-6,0.25,13.45
505537,ZEE ENTERTAINMENT ENTERPRISES LTD.,8.85,14.35,-28.5
532714,KEC INTERNATIONAL LTD.,-4.1,-13.45,2.15
543064,Suven Pharmaceuticals Ltd,1.7,1.3,-4.55
500238,WHIRLPOOL OF INDIA LTD.,-26.7,-43.05,-27.95
500378,JINDAL SAW LTD.,15.9,11.05,-16.55
542726,IndiaMART InterMESH Ltd,2.3,-0.95,-59.8
543981,R R Kabel Ltd,-17.9,-27.7,-0.4
500003,AEGIS LOGISTICS LTD.,-3.95,-3.5,-12.9
500040,CENTURY TEXTILES & INDUSTRIES LTD.,-6.1,-1.5,-22.75
532805,Redington Ltd,2.95,2.25,-6.15
542752,Affle (India) Ltd,-6.9,-14.5,-18.5
532976,JAI BALAJI INDUSTRIES LTD.,50.25,50.25,30.5
532548,CENTURY PLYBOARDS (I) LTD.-$,0.7,-3.9,-2.35
500184,Himadri Speciality Chemical Ltd,0,0.75,-1.2
533272,Jupiter Wagons Ltd,-0.65,-1.6,-8.25
500252,LAKSHMI MACHINE WORKS LTD.,-3.45,-132.55,-121.6
532209,JAMMU & KASHMIR BANK LTD.,-1,-1.25,-3.25
540073,BLS International Services Ltd,3.2,2,-6.8
540065,RBL Bank Ltd,5.5,2.2,-4.8
532504,Navin Fluorine International Limited-$,4.15,33.55,-44.9
531213,MANAPPURAM FINANCE LTD.,-2.45,0.8,-5.5
543415,Anand Rathi Wealth Ltd,3.45,-7,-4.7
522287,Kalpataru Projects International Ltd,-23.05,-22.95,-12.75
500183,HFCL Ltd,2.8,3.2,1.55
500144,FINOLEX CABLES LTD.,1.4,-3.6,-5.5
523367,DCM Shriram Limited,-0.25,-2.75,-5.25
543988,Nuvama Wealth Management Ltd,-57,-106.2,76.75
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.,2.9,2.95,-2.95
531768,POLY MEDICURE LTD.,10.4,19.5,23.2
539957,Mahanagar Gas Ltd,-9.9,-7.95,-3.55
526612,BLUE DART EXPRESS LTD.,-23.2,30.55,-114.25
543318,Clean Science and Technology Ltd,1.65,3.15,59.2
514162,Welspun Living Ltd,0.1,3.85,-3
544081,Jyoti CNC Automation Ltd,3.45,-8.6,3.5
500110,CHENNAI PETROLEUM CORPORATION LTD.,-15,-21.25,-34.45
543960,Concord Biotech Ltd,-27.95,-22.05,57.4
590003,KARUR VYSYA BANK LTD.,-1.5,-0.45,-0.65
517271,HBL POWER SYSTEMS LTD.-$,-0.15,0.5,-16.15
500008,Amara Raja Energy & Mobility Ltd,0.65,-3.35,-8.85
533655,TRIVENI TURBINE LTD.,-3.25,-7,2.45
500294,NCC Limited,-3.85,-4.75,0.35
500042,BASF INDIA LTD.,4.3,-32,-39.6
532144,Welspun Corp Limited,-2.05,-6.65,-14
532627,Jaiprakash Power Ventures Limited,-0.34,-0.49,-0.64
500249,KSB Ltd,-6.95,-30.1,-116.05
543232,Computer Age Management Services Ltd,3.3,-29.7,128.85
544014,Honasa Consumer Ltd,-8.5,-5.55,-1.6
542760,Sterling and Wilson Renewable Energy Ltd,-3.35,-7.05,-25.2
539177,Authum Investment & Infrastructure Ltd,26.7,88.85,-21.5
500163,GODFREY PHILLIPS INDIA LTD.,-44.45,-25.95,-16.95
500940,FINOLEX INDUSTRIES LTD.,-1.3,-1.05,-4.3
532762,ACTION CONSTRUCTION EQUIPMENT LTD.,-37.45,-38.55,-19.7
543374,Aditya Birla Sun Life AMC Ltd,0.25,-0.95,13.5
535789,Indiabulls Housing Finance Ltd,3.8,3.8,-7
532809,FIRSTSOURCE SOLUTIONS LTD.,5.45,5.2,-4.9
500405,SUPREME PETROCHEM LTD.,20.2,5.95,-11.15
506820,ASTRAZENECA PHARMA INDIA LTD.,28.35,-24.25,-11.15
540902,Amber Enterprises India Ltd,-1.7,-28.25,-76.5
532953,V-GUARD INDUSTRIES LTD.,0.8,-1.9,0
500620,GREAT EASTERN SHIPPING CO.LTD.,4.75,5.95,-9.1
532689,PVR Inox Ltd,-3.55,-8.45,6.2
533160,D B Realty Ltd,1.85,-0.3,-5.6
543653,Bikaji Foods International Ltd,-2.3,-6.8,-2.9
532527,RAMKRISHNA FORGINGS LTD.,18.15,13.45,-2.6
