SecurityCode,companyName,marketCapFull
523062,J.J.FINANCE CORPORATION LTD.,6.81
531283,CINDRELLA FINANCIAL SERVICES LTD.,6.81
540481,Classic Leasing & Finance Ltd,6.83
535917,GCM Commodity & Derivatives Ltd,6.83
540108,Tiaan Consumer Ltd,6.85
543319,AA Plus Tradelink Ltd,6.86
531594,INCON ENGINEERS LTD.,6.88
531397,POLYCON INTERNATIONAL LTD.,6.92
531049,NEELKANTH ROCKMINERALS LTD.,6.94
531676,VAGHANI TECHNO-BUILD LTD.,7.05
536565,Trimurthi Ltd,7.06
539384,Krishna Capital and Securities Ltd,7.07
512297,Shantai Industries Ltd,7.09
507808,UNITED LEASING & INDUSTRIES LTD.,7.1
539692,Interactive Financial Services Ltd,7.12
534190,OLYMPIC CARDS LTD.,7.18
531925,SHANTANU SHEOREY AQUAKULT LTD.,7.19
543970,Shoora Designs Ltd,7.2
543305,Navoday Enterprises Ltd,7.21
526799,UNION QUALITY PLASTICS LTD.,7.21
530141,GYAN DEVELOPERS & BUILDERS LTD.,7.26
503772,MODELLA WOOLLENS LTD.,7.26
531515,MAHAN INDUSTRIES LTD.,7.27
512279,N2N Technologies Limited,7.34
516020,AGIO PAPER & INDUSTRIES LTD.-$,7.34
531495,BLUE COAST HOTELS LTD.,7.34
539449,IGC Industries Ltd,7.35
541703,Raconteur Global Resources Ltd,7.4
532307,MELSTAR INFORMATION TECHNOLOGIES LTD.,7.43
533018,SIMPLEX MILLS COMPANY LTD.,7.44
513579,FOUNDRY FUEL PRODUCTS LTD.,7.47
523373,MINI DIAMONDS (INDIA) LTD.,7.47
515127,Ramasigns Industries Ltd,7.54
538464,Thirani Projects Ltd,7.56
531288,LEAD FINANCIAL SERVICES LTD.,7.56
539798,Umiya Tubes Ltd,7.6
539800,CHD Chemicals Ltd,7.63
531083,NIHAR INFO GLOBAL LTD.,7.65
539111,Sheshadri Industries Ltd,7.68
531661,HITTCO TOOLS LTD.,7.68
532379,First Fintec Ltd,7.69
526869,KUMBHAT FINANCIAL SERVICES LTD.,7.74
532164,MINOLTA FINANCE LTD.,7.75
533110,SHREE PRECOATED STEELS LTD.,7.77
524727,Span Divergent Ltd-$,7.79
531155,EPSOM PROPERTIES LTD.,7.82
500426,UTL Industries Limited,7.84
534639,VINAYAK POLYCON INTERNATIONAL LTD.,7.84
519604,SURYO FOODS & INDUSTRIES LTD.,7.9
530669,Ace Engitech Ltd,7.91
521062,Perfect-Octave Media Projects Ltd,7.91
538081,Haria Apparels Ltd,7.92
531314,Integra Capital  Ltd,7.94
526441,VISION CINEMAS LTD.,7.95
543400,Omnipotent Industries Ltd,7.96
532303,INTEGRATED HITECH LTD.,7.96
540148,Bindal Exports Ltd,8.05
526813,RAGHUNATH INTERNATIONAL LTD.,8.08
512481,POLYTEX INDIA LTD.,8.1
519506,NCC BLUE WATER PRODUCTS LTD.,8.11
531585,DEVINE IMPEX LTD.,8.15
535204,Mukta Agriculture Ltd,8.15
531406,ANS Industries Ltd,8.16
531578,KMF BUILDERS & DEVELOPERS LTD.,8.2
500142,FGP LTD.,8.21
526431,WELTERMAN INTERNATIONAL LTD.,8.22
543536,Silver Pearl Hospitality & Luxury Spaces Ltd,8.25
538874,Nexus Surgical And Medicare Ltd,8.26
511122,FIRST CUSTODIAN FUND (INDIA) LTD.,8.28
530925,RAMSONS PROJECTS LTD.,8.28
539190,Decillion Finance Ltd,8.32
509760,MODERN SHARES & STOCKBROKERS LTD.,8.32
532041,HINDUSTAN BIO SCIENCES LTD.,8.44
509835,PREMIER SYNTHETICS LTD.,8.45
526187,ASHRAM ONLINE.COM LTD.,8.5
540081,SAB Events & Governance Now Media Ltd,8.54
537524,Viaan Industries Ltd,8.6
531409,ALCHEMIST CORPORATION LTD.,8.6
522209,YOGI SUNG-WON (INDIA) LTD.,8.64
511738,MEHTA SECURITIES LTD.,8.65
513575,Sterling Powergensys Limited,8.66
537784,Karnimata Cold Storage Ltd,8.69
512344,ARAVALI SECURITIES & FINANCE LTD.,8.7
531043,DHANVANTRI JEEVAN REKHA LTD.,8.75
531668,VISION CORPORATION LTD.,8.77
538742,Panabyte Technologies Ltd,8.78
526113,UNIROYAL MARINE EXPORTS LTD.,8.81
511441,GUJARAT CREDIT CORPORATION LTD.,8.82
514223,RAMGOPAL POLYTEX LTD.,8.83
539982,Advance Syntex Ltd,8.88
512618,RLF LTD.,8.9
531341,GUJARAT INVESTA LTD.,8.91
543516,Dhyaani Tile and Marblez Ltd,8.94
526081,SC Agrotech Ltd,8.99
530429,ASHISH POLYPLAST LTD.,8.99
513309,Golkonda Aluminium Extrusions Ltd-$,9.0
540174,Southern Infosys Ltd,9.04
530715,ALPS INDUSTRIES LTD.,9.04
526574,ENTERPRISE INTERNATIONAL LTD.,9.04
531583,RAP MEDIA LTD.,9.04
519191,Retro Green Revolution Ltd,9.07
532354,Virgo Global Ltd,9.07
531960,Kashyap Tele-Medicines Ltd,9.07
531465,NOUVEAU GLOBAL VENTURES LTD.,9.09
590070,RADAAN MEDIAWORKS (I) LTD.,9.11
537254,RCI Industries & Technologies Ltd,9.12
542924,Janus Corporation Ltd,9.12
538596,Quantum Build-Tech Ltd,9.12
523652,Kkalpana Plastick Limited,9.14
539435,Richfield Financial Services Ltd,9.14
511110,V.B.DESAI FINANCIAL SERVICES LTD.,9.17
539099,Athena Constructions Ltd,9.18
530495,Stratmont Industries Ltd,9.2
530735,SUPER BAKERS (INDIA) LTD.,9.22
514332,NEO INFRACON LTD.,9.23
511611,DCM FINANCIAL SERVICES LTD.,9.24
531444,Vardhman Concrete Limited,9.25
539596,Delta Industrial Resources Ltd,9.25
509084,PHOTON CAPITAL ADVISORS LTD.,9.29
500458,Kore Foods Ltd,9.31
531352,PEETI SECURITIES LTD.,9.33
517399,VXL INSTRUMENTS LTD.,9.34
521080,PASARI SPINNING MILLS LTD.,9.38
514318,JATTASHANKAR INDUSTIES LTD.,9.41
539278,Symbiox Investment & Trading Company Ltd,9.42
513540,TAMILNADU STEEL TUBES LTD.,9.44
532392,CREATIVE EYE LTD.,9.45
508963,STERLING GUARANTY & FINANCE LTD.,9.49
530167,MOONGIPA CAPITAL FINANCE LTD.,9.5
542446,Jonjua Overseas Ltd,9.51
531157,ORGANIC COATINGS LTD.,9.55
531323,Jayatma Industries Ltd,9.57
531304,NUTECH GLOBAL LTD.,9.61
531980,Senthil Infotek Ltd,9.64
530611,STURDY INDUSTRIES LTD.,9.68
523896,Avi Products India Ltd,9.74
538894,Octal Credit Capital Ltd,9.75
531797,SCAN PROJECTS LTD.,9.81
521242,KANDAGIRI SPINNING MILLS LTD.-$,9.82
512301,CHAMBAL BREWERIES & DISTILLERIES LTD.,9.85
539123,V B Industries Ltd,9.91
541299,Dr Lalchandani Labs Ltd,9.92
539680,Ganga Pharmaceuticals Ltd,9.94
531137,GEMSTONE INVESTMENTS LTD.,9.94
538452,Quasar India Ltd,10.06
538319,GCM Capital Advisors Ltd,10.06
543521,Fone4 Communications (India) Ltd,10.06
530765,Agarwal Fortune India Ltd,10.08
530907,SI CAPITAL & FINANCIAL SERVICES LTD.,10.08
537582,Unishire Urban Infra Ltd,10.13
530797,SHREE GANESH ELASTOPLAST LTD.,10.21
530663,GOYAL ASSOCIATES LTD.,10.28
507515,C.J.GELATINE PRODUCTS LTD.,10.34
523151,OTCO INTERNATIONAL LTD.,10.34
526468,EURO LEDER FASHION LTD.,10.37
538787,Goenka Business & Finance Ltd,10.37
531210,COLINZ LABORATORIES LTD.,10.39
524624,GAGAN GASES LTD.,10.44
