,scripCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
462,544046,INOX India Ltd,1158.35,33.75,3.00,20 Feb 24 | 04:00 PM,INOXINDIA,B  / S&P BSE IPO,2.00,Capital Goods,1124.60,1132.45,1174.00,1132.45,1224.70,802.20,1155.84,5.93 Cr.,0.51 Lakh,1.49 Lakh,"10,513.59 Cr.","1,787.31 Cr."
463,532210,CITY UNION BANK LTD.,135.35,-2.45,-1.78,20 Feb 24 | 04:00 PM,CUB,A  / S&P BSE 500,1.00,Financial Services,137.80,138.60,138.60,134.40,167.65,119.50,136.53,4.31 Cr.,3.15 Lakh,4.11 Lakh,"10,024.56 Cr.","9,723.82 Cr."
464,531335,ZYDUS WELLNESS LTD.-$,1594.75,-3.70,-0.23,20 Feb 24 | 04:00 PM,ZYDUSWELL,A  / S&P BSE 500,10.00,Fast Moving Consumer Goods,1598.45,1600.00,1610.70,1582.80,1720.65,1390.05,1590.19,0.23 Cr.,0.01 Lakh,0.02 Lakh,"10,147.74 Cr.","2,131.02 Cr."
465,532670,SHREE RENUKA SUGARS LTD.,49.99,2.21,4.63,20 Feb 24 | 04:00 PM,RENUKA,A  / S&P BSE 500,1.00,Fast Moving Consumer Goods,47.78,48.09,51.13,47.84,57.25,39.50,49.81,23.62 Cr.,47.42 Lakh,23.48 Lakh,"10,640.32 Cr.","3,936.92 Cr."
466,531500,RAJESH EXPORTS LTD.,344.70,0.30,0.09,20 Feb 24 | 04:00 PM,RAJESHEXPO,A  / S&P BSE 500,1.00,Consumer Durables,344.40,343.80,359.60,337.05,777.00,298.95,348.97,10.37 Cr.,2.97 Lakh,1.90 Lakh,"10,177.61 Cr.","4,579.92 Cr."
467,538962,Minda Corporation Ltd,428.30,3.25,0.76,20 Feb 24 | 04:00 PM,MINDACORP,A  / S&P BSE 500,2.00,Automobile and Auto Components,425.05,440.85,449.00,425.00,449.00,187.00,434.96,5.09 Cr.,1.17 Lakh,11.45 Lakh,"10,239.77 Cr.","3,379.12 Cr."
468,543275,Anupam Rasayan India Ltd,916.75,-8.35,-0.90,20 Feb 24 | 04:00 PM,ANURAS,A  / S&P BSE 500,10.00,Chemicals,925.10,929.90,929.90,902.45,1249.75,620.00,919.25,0.92 Cr.,0.10 Lakh,0.16 Lakh,"10,058.86 Cr.","2,112.36 Cr."
469,543228,Route Mobile Ltd,1621.50,9.40,0.58,20 Feb 24 | 04:00 PM,ROUTE,A  / S&P BSE 500,10.00,Telecommunication,1612.10,1626.45,1670.00,1618.65,1759.50,1209.05,1638.94,2.96 Cr.,0.18 Lakh,0.07 Lakh,"10,154.00 Cr.","4,264.68 Cr."
470,533248,GUJARAT PIPAVAV PORT LTD.,205.80,-2.70,-1.29,20 Feb 24 | 04:00 PM,GPPL,A  / S&P BSE 500,10.00,Services,208.50,210.65,210.65,202.40,215.35,97.75,205.52,8.36 Cr.,4.07 Lakh,6.22 Lakh,"9,949.19 Cr.","5,571.55 Cr."
471,543425,C.E. Info Systems Ltd,1843.70,-11.90,-0.64,20 Feb 24 | 04:00 PM,MAPMYINDIA,A  / S&P BSE 500,2.00,Information Technology,1855.60,1851.10,1875.75,1837.10,2340.00,983.45,1854.99,0.40 Cr.,0.02 Lakh,0.05 Lakh,"9,969.25 Cr.","2,392.62 Cr."
