SecurityCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,1265.55,-1.8,-0.14,15 Feb 24 | 04:01 PM,ADANIPORTS,A  / S&P BSE 100,2,Services,1267.35,1276.55,1277.55,1262.15,1290.8,533.65,1269.46,10.32 Cr.,0.81 Lakh,3.15 Lakh,273376.38,"92,947.97 Cr."
507685,WIPRO LTD.,518.25,4.2,0.82,15 Feb 24 | 04:01 PM,WIPRO,A  / S&P BSE SENSEX,2,Information Technology,514.05,516.15,523,513.15,526.45,351.85,519.09,11.04 Cr.,2.13 Lakh,4.97 Lakh,270782.54,"73,111.29 Cr."
530965,INDIAN OIL CORPORATION LTD.,189.9,6.2,3.38,15 Feb 24 | 04:01 PM,IOC,A  / S&P BSE 100,10,"Oil, Gas & Consumable Fuels",183.7,185,191.4,183.5,196.8,75.77,188.67,106.71 Cr.,56.56 Lakh,52.28 Lakh,268162.32,"72,403.83 Cr."
532898,POWER GRID CORPORATION OF INDIA LTD.,281.5,7.65,2.79,15 Feb 24 | 04:01 PM,POWERGRID,A  / S&P BSE SENSEX,10,Power,273.85,272.65,283.25,271.5,289.45,159.34,278.39,21.45 Cr.,7.71 Lakh,10.93 Lakh,261812,"1,28,287.88 Cr."
532978,BAJAJ FINSERV LTD.,1570.9,-8.35,-0.53,15 Feb 24 | 04:01 PM,BAJAJFINSV,A  / S&P BSE SENSEX,1,Financial Services,1579.25,1588,1589.95,1564.75,1741.85,1216.1,1571.46,9.27 Cr.,0.59 Lakh,0.87 Lakh,250635.34,"75,190.60 Cr."
540376,Avenue Supermarts Ltd,3677.95,-38.25,-1.03,15 Feb 24 | 04:01 PM,DMART,A  / S&P BSE 100,10,Consumer Services,3716.2,3701.75,3725,3673,4203,3292.65,3690.87,1.61 Cr.,0.04 Lakh,0.10 Lakh,239336.37,"55,047.36 Cr."
500790,NESTLE INDIA LTD.,2454.3,-32.75,-1.32,15 Feb 24 | 04:01 PM,NESTLEIND,A  / S&P BSE SENSEX,1,Fast Moving Consumer Goods,2487.05,2490.25,2490.25,2440,2770.75,1788.8,2457.64,6.12 Cr.,0.25 Lakh,0.48 Lakh,236633.09,"87,554.24 Cr."
532977,BAJAJ AUTO LTD.,8120.6,32.5,0.4,15 Feb 24 | 04:01 PM,BAJAJ-AUTO,A  / S&P BSE 100,10,Automobile and Auto Components,8088.1,8090.15,8159.6,8044.5,8159.6,3625.05,8105.34,8.14 Cr.,0.10 Lakh,0.08 Lakh,229958.95,"82,785.22 Cr."
500520,MAHINDRA & MAHINDRA LTD.,1765.55,107.95,6.51,15 Feb 24 | 04:01 PM,M&M,A  / S&P BSE SENSEX,5,Automobile and Auto Components,1657.6,1683.1,1783.8,1666,1783.8,1124,1747.61,84.13 Cr.,4.81 Lakh,1.15 Lakh,219551.23,"1,58,076.89 Cr."
533096,ADANI POWER LTD.,561.35,-2.95,-0.52,15 Feb 24 | 04:01 PM,ADANIPOWER,T  / S&P BSE 200,10,Power,564.3,568,570,558,589.3,132.55,562.36,9.15 Cr.,1.63 Lakh,1.51 Lakh,216509.27,"54,127.32 Cr."
532868,DLF LTD.,850.95,6.8,0.81,15 Feb 24 | 04:01 PM,DLF,A  / S&P BSE 100,2,Realty,844.15,849.05,858,842.9,858,336.55,850.38,13.85 Cr.,1.63 Lakh,1.66 Lakh,210636.65,"54,765.53 Cr."
543257,Indian Railway Finance Corporation Ltd,158.8,4.45,2.88,15 Feb 24 | 04:00 PM,IRFC,A  / S&P BSE 200,10,Financial Services,154.35,156.5,161.5,154.9,192.8,25.45,159.15,190.81 Cr.,119.90 Lakh,139.07 Lakh,207527.88,"29,053.90 Cr."
541154,Hindustan Aeronautics Ltd,3022.7,65.35,2.21,15 Feb 24 | 04:01 PM,HAL,A  / S&P BSE 100,5,Capital Goods,2957.35,2993.65,3033.9,2982.9,3130,1228,3010.94,34.13 Cr.,1.13 Lakh,1.34 Lakh,202150.62,"56,602.17 Cr."
500228,JSW STEEL LTD.,812.15,-1.15,-0.14,15 Feb 24 | 04:01 PM,JSWSTEEL,A  / S&P BSE SENSEX,1,Metals & Mining,813.3,817,820.85,806.1,895.6,649.75,814.84,3.60 Cr.,0.44 Lakh,0.94 Lakh,198607.54,"77,456.94 Cr."
540180,Varun Beverages Ltd,1425.05,-6.85,-0.48,15 Feb 24 | 04:01 PM,VBL,A  / S&P BSE 100,5,Fast Moving Consumer Goods,1431.9,1441,1455.95,1420,1455.95,623.03,1440.83,19.27 Cr.,1.34 Lakh,0.92 Lakh,185163.87,"68,510.63 Cr."
500470,TATA STEEL LTD.,141.2,0.05,0.04,15 Feb 24 | 04:01 PM,TATASTEEL,A  / S&P BSE SENSEX,1,Metals & Mining,141.15,141.95,143.45,140.95,147.35,101.65,142.17,15.53 Cr.,10.93 Lakh,34.29 Lakh,174858.43,"1,15,406.56 Cr."
543940,Jio Financial Services Ltd,274,0.9,0.33,15 Feb 24 | 04:00 PM,JIOFIN,B  /,10,Financial Services,273.1,275,278.95,272.9,295.7,204.65,275.33,66.75 Cr.,24.24 Lakh,38.33 Lakh,174079.99,"92,262.39 Cr."
540005,LTIMindtree Ltd,5521.8,10.55,0.19,15 Feb 24 | 04:01 PM,LTIM,A  / S&P BSE 100,1,Information Technology,5511.25,5572.8,5589.9,5513.25,6442.65,4130.3,5553.48,6.12 Cr.,0.11 Lakh,0.29 Lakh,163535.49,"50,696.00 Cr."
500550,SIEMENS LTD.,4345.65,-34.05,-0.78,15 Feb 24 | 04:01 PM,SIEMENS,A  / S&P BSE 100,2,Capital Goods,4379.7,4382,4403.35,4320,4500,3081,4343.81,2.30 Cr.,0.05 Lakh,0.11 Lakh,154757.4,"38,689.35 Cr."
540719,SBI Life Insurance Company Ltd,1456.75,2.8,0.19,15 Feb 24 | 04:01 PM,SBILIFE,A  / S&P BSE 100,10,Financial Services,1453.95,1465,1479,1444.1,1495,1039.25,1452.13,1.85 Cr.,0.13 Lakh,0.20 Lakh,145855.67,"65,635.05 Cr."
