SecurityCode,companyName
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.
543415,Anand Rathi Wealth Ltd
500003,AEGIS LOGISTICS LTD.
539957,Mahanagar Gas Ltd
540073,BLS International Services Ltd
500252,LAKSHMI MACHINE WORKS LTD.
590003,KARUR VYSYA BANK LTD.
514162,Welspun Living Ltd
543318,Clean Science and Technology Ltd
543988,Nuvama Wealth Management Ltd
500008,Amara Raja Energy & Mobility Ltd
532144,Welspun Corp Limited
543960,Concord Biotech Ltd
526612,BLUE DART EXPRESS LTD.
531768,POLY MEDICURE LTD.
533655,TRIVENI TURBINE LTD.
500110,CHENNAI PETROLEUM CORPORATION LTD.
500042,BASF INDIA LTD.
500183,HFCL Ltd
532627,Jaiprakash Power Ventures Limited
544014,Honasa Consumer Ltd
543232,Computer Age Management Services Ltd
544081,Jyoti CNC Automation Ltd
535789,Indiabulls Housing Finance Ltd
539177,Authum Investment & Infrastructure Ltd
500294,NCC Limited
500620,GREAT EASTERN SHIPPING CO.LTD.
532809,FIRSTSOURCE SOLUTIONS LTD.
534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.
506820,ASTRAZENECA PHARMA INDIA LTD.
534076,Rhi Magnesita India Ltd
532762,ACTION CONSTRUCTION EQUIPMENT LTD.
532953,V-GUARD INDUSTRIES LTD.
543374,Aditya Birla Sun Life AMC Ltd
500940,FINOLEX INDUSTRIES LTD.
542760,Sterling and Wilson Renewable Energy Ltd
532790,Tanla Platforms Ltd
543653,Bikaji Foods International Ltd
500249,KSB Ltd
532527,RAMKRISHNA FORGINGS LTD.
500163,GODFREY PHILLIPS INDIA LTD.
532689,PVR Inox Ltd
532181,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.
532784,Sobha Limited
540902,Amber Enterprises India Ltd
515030,ASAHI INDIA GLASS LTD.
541557,Fine Organic Industries Ltd
540750,Indian Energy Exchange Ltd
500106,IFCI LTD.
500048,BEML LTD.
500335,BIRLA CORPORATION LTD.
543524,Rainbow Children's Medicare Ltd
530007,JK TYRE & INDUSTRIES LTD.
532966,Titagarh Rail Systems Ltd
543227,Happiest Minds Technologies Ltd
500710,Akzo Nobel India Limited
505533,Westlife Foodworld Ltd
540595,Tejas Networks Ltd
500265,MAHARASHTRA SEAMLESS LTD.
502986,VARDHMAN TEXTILES LTD.
533293,KIRLOSKAR OIL ENGINES LTD.
538835,Intellect Design Arena Ltd
543265,RailTel Corporation of India Ltd
532178,ENGINEERS INDIA LTD.
501425,BOMBAY BURMAH TRADING CORP.LTD.
513377,MMTC LTD.
543334,Nuvoco Vistas Corporation Ltd
504067,ZENSAR TECHNOLOGIES LTD.
500405,SUPREME PETROCHEM LTD.
540203,Sheela Foam Ltd
500031,BAJAJ ELECTRICALS LTD.-$
532798,NETWORK18 MEDIA & INVESTMENTS LTD.
543317,G R Infraprojects Ltd
515055,Anant Raj Limited-$
540596,Eris Lifesciences Ltd
524742,CAPLIN POINT LABORATORIES LTD.
534597,Rattanindia Enterprises Ltd
543238,UTI Asset Management Company Ltd
539006,PTC Industries Ltd
506590,PCBL Ltd
505700,ELECON ENGINEERING CO.LTD.
543243,Equitas Small Finance Bank Ltd
543534,Aether Industries Ltd
500330,RAYMOND LTD.
532872,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.
500878,CEAT LTD.
532927,ECLERX SERVICES LTD.
541988,AAVAS Financiers Ltd
506767,ALKYL AMINES CHEMICALS LTD.-$
542904,Ujjivan Small Finance Bank Ltd
541233,Lemon Tree Hotels Ltd
511196,CAN FIN HOMES LTD.
543720,KFin Technologies Ltd
540900,Newgen Software Technologies Ltd
543398,Latent View Analytics Ltd
500380,JK LAKSHMI CEMENT LTD.
543322,Glenmark Life Sciences Ltd
509488,GRAPHITE INDIA LTD.
533160,D B Realty Ltd
523598,SHIPPING CORPORATION OF INDIA LTD.
543417,RateGain Travel Technologies Ltd
539150,PNC Infratech Ltd
532734,GODAWARI POWER & ISPAT LTD.
517506,TTK PRESTIGE LTD.
544046,INOX India Ltd
532482,GRANULES INDIA LTD.-$
500210,INGERSOLL-RAND (INDIA) LTD.
504882,NATIONAL STANDARD (INDIA) LTD.
500128,ELECTROSTEEL CASTINGS LTD.
500125,E.I.D.-PARRY (INDIA) LTD.
