SecurityCode,companyName,day1,day2,day3,day4,day5,Highest_Value,Lowest_Value,Lowest_Column_Name,Highest_Column_Name
500249,KSB Ltd,4069.95,4078.45,4103.4,4099.85,4092.45,4103.4,4069.95,day1,day3
500250,L.G.BALAKRISHNAN & BROS.LTD.,1174.05,1169.45,1165.35,1172.05,1172.05,1174.05,1165.35,day3,day1
500251,TRENT LTD.,4050,4053.5,4044.8,4047.25,4061.3,4061.3,4044.8,day3,day5
500252,LAKSHMI MACHINE WORKS LTD.,14858.65,14929.1,14901.5,14853.35,14813,14929.1,14813,day5,day2
500253,LIC HOUSING FINANCE LTD.,638.3,639.25,639.2,638,637.45,639.25,637.45,day5,day2
500257,LUPIN LTD.,1598.5,1599,1596.1,1597.6,1594,1599,1594,day5,day2
500259,LYKA LABS LTD.,133,134.2,134.45,133.05,133.05,134.45,133,day1,day3
500260,The Ramco Cements Limited,880.4,880,875.05,880.2,882.35,882.35,875.05,day3,day5
500262,Hybrid Financial Services Ltd,10.4,10.4,10.4,10.4,9.93,10.4,9.93,day5,day1
500264,MAFATLAL INDUSTRIES LTD.-$,150.7,150,149.65,150,150,150.7,149.65,day3,day1
500265,MAHARASHTRA SEAMLESS LTD.,971.95,975,976,974.9,974.85,976,971.95,day1,day3
500266,MAHARASHTRA SCOOTERS LTD.,7511.3,7510.2,7541.2,7541.2,7513.55,7541.2,7510.2,day2,day3
500267,MAJESTIC AUTO LTD.-$,419.05,419.05,419.05,419.05,419.05,419.05,419.05,day1,day1
500268,MANALI PETROCHEMICAL LTD.,74.2,74.1,73.73,74.36,74.85,74.85,73.73,day3,day5
500270,BARODA RAYON CORPORATION LTD.,186.15,187.9,186.35,185,185.2,187.9,185,day4,day2
500271,Max Financial Services Ltd,966.85,971.6,976,977.9,978.8,978.8,966.85,day1,day5
500277,MID INDIA INDUSTRIES LTD.,8.05,8,8,7.59,7.59,8.05,7.59,day4,day1
500279,MIRC ELECTRONICS LTD.,28.93,28.93,28.93,28.93,28.93,28.93,28.93,day1,day1
500280,CENTURY ENKA LTD.,453.85,453.85,453.85,455.9,455.05,455.9,453.85,day1,day4
500282,MODERN THREADS (INDIA) LTD.,23.12,23.12,23.12,23.12,23.12,23.12,23.12,day1,day1
500284,LORDS CHLORO ALKALI LTD.,138.2,138.5,138.5,138.5,136.8,138.5,136.8,day5,day2
500285,SPICEJET LTD.,70.92,69.85,70.17,70.67,70.31,70.92,69.85,day2,day1
500288,MOREPEN LABORATORIES LTD.,53.64,53.55,53.66,53.8,53.72,53.8,53.55,day2,day4
500290,MRF LTD.,148683.6,148798,148722.5,148920,148792.15,148920,148683.6,day1,day4
500292,HEIDELBERGCEMENT INDIA LTD.,216.95,216.5,217.6,220.1,220.05,220.1,216.5,day2,day4
500294,NCC Limited,232,231.6,231.45,231.95,231.55,232,231.45,day3,day1
500295,Vedanta Limited,272.05,272.5,272.1,272.15,271.9,272.5,271.9,day5,day2
500296,NAHAR SPINNING MILLS LTD.,310.6,310.4,310.3,312.7,314.65,314.65,310.3,day3,day5
500298,Naperol Investments Ltd,1020,1025,1025,1015.05,1015.05,1025,1015.05,day4,day2
500300,GRASIM INDUSTRIES LTD.,2161.5,2158.1,2162,2166,2166.9,2166.9,2158.1,day2,day5
500302,PIRAMAL ENTERPRISES LTD.,893,894.1,898.7,896.45,896,898.7,893,day1,day3
500304,NIIT LTD.,133,133.6,133.55,133.5,133.05,133.6,133,day1,day2
500306,JAYKAY ENTERPRISES LTD.,154.95,154.95,154.95,154.95,154.95,154.95,154.95,day1,day1
500307,NIRLON LTD.,443,444.85,444.85,442.75,444.1,444.85,442.75,day4,day2
500312,Oil and Natural Gas Corporation Ltd,275.65,275.4,275.35,276.35,276.25,276.35,275.35,day3,day4
500313,OIL COUNTRY TUBULAR LTD.,40.84,40.84,40.84,40.84,40.84,40.84,40.84,day1,day1
500314,ORIENTAL HOTELS LTD.,125.2,125.5,125.35,125.5,125.5,125.5,125.2,day1,day2
500317,OSWAL AGRO MILLS LTD.,49.33,49.58,49.39,49.58,49.58,49.58,49.33,day1,day2
500319,INDIAN SUCROSE LTD.,99.24,101.6,101.2,101.8,102.48,102.48,99.24,day1,day5
500322,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,159.8,159.8,159.8,159.8,159.8,159.8,159.8,day1,day1
500325,RELIANCE INDUSTRIES LTD.,2920.8,2919.2,2922.05,2921.3,2916.2,2922.05,2916.2,day5,day3
500327,Pil Italica Lifestyle Ltd,16.04,16.14,16.09,16.1,16.09,16.14,16.04,day1,day2
500330,RAYMOND LTD.,1770.65,1777,1774.65,1769,1774,1777,1769,day4,day2
500331,PIDILITE INDUSTRIES LTD.,2717.4,2719.95,2723,2727.1,2726.35,2727.1,2717.4,day1,day4
500333,PIX TRANSMISSIONS LTD.,1291.25,1288,1292.85,1307.65,1295.2,1307.65,1288,day2,day4
500335,BIRLA CORPORATION LTD.,1729.35,1731.1,1729.95,1728.8,1729.4,1731.1,1728.8,day4,day2
500336,SURYA ROSHNI LTD.,630,629.6,627.55,629.15,636.5,636.5,627.55,day3,day5
500337,PRIME SECURITIES LTD.,186.95,188.3,188.3,188.3,184.2,188.3,184.2,day5,day2
500338,Prism Johnson Ltd,172.85,172.85,172.75,173.05,172.5,173.05,172.5,day5,day4
500339,Rain Industries Ltd,212.35,212.1,213.65,212.5,213.3,213.65,212.1,day2,day3
500342,PRUDENTIAL SUGAR CORPORATION LTD.,30.6,29.7,29.7,30,30.6,30.6,29.7,day2,day1
500343,AMJ Land Holdings Ltd,39.85,41,40.5,39.66,39.66,41,39.66,day4,day2
500346,PUNJAB COMMUNICATIONS LTD.-$,57.47,57,56.02,56.02,56.02,57.47,56.02,day3,day1
500350,RSWM LTD.,208.2,208,208.75,208.5,208.5,208.75,208,day2,day3
500354,RAJSHREE SUGARS & CHEMICALS LTD.,75.6,75,74.61,75.93,75.09,75.93,74.61,day3,day4
500355,RALLIS INDIA LTD.,247.4,246.65,247.25,247.2,246.85,247.4,246.65,day2,day1
500356,SHREE RAMA NEWSPRINT LTD.,20.89,20.86,20.86,20.86,20.86,20.89,20.86,day2,day1
500357,RAMA PAPER MILLS LTD.,19.48,21.5,21.5,21.45,21.4,21.5,19.48,day1,day2
500360,RAPICUT CARBIDES LTD.,131,131,131,131,131,131,131,day1,day1
500365,Welspun Specialty Solutions Ltd,40.1,40.17,39.98,39.87,39.87,40.17,39.87,day4,day2
500367,RUBFILA INTERNATIONAL LTD.,80,80,80.1,80.1,80.1,80.1,80,day1,day3
500368,Patanjali Foods Ltd,1652.1,1660.85,1672.4,1671.85,1670.1,1672.4,1652.1,day1,day3
500370,SALORA INTERNATIONAL LTD.,61.95,63,63,63,63,63,61.95,day1,day2
500378,JINDAL SAW LTD.,521.1,517.5,518.5,517.95,516,521.1,516,day5,day1
500380,JK LAKSHMI CEMENT LTD.,952.6,959.9,961,956.25,956.9,961,952.6,day1,day3
500387,SHREE CEMENT LTD.,26449.05,26460.7,26498.95,26498.95,26543.8,26543.8,26449.05,day1,day5
500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,37.26,37.26,37.26,37.26,37.26,37.26,37.26,day1,day1
500390,RELIANCE INFRASTRUCTURE LTD.,235.25,234.65,235.4,235.25,239,239,234.65,day2,day5
500400,TATA POWER CO.LTD.,382.3,382.1,383.35,383.7,384.35,384.35,382.1,day2,day5
500402,SPML Infra Limited,112.2,112.2,112.2,112,112,112.2,112,day4,day1
500403,SUNDRAM FASTENERS LTD.,1114.7,1110.9,1110.9,1104.95,1102.15,1114.7,1102.15,day5,day1
500404,SUNFLAG IRON & STEEL CO.LTD.,216.75,215.5,215,214.85,214.65,216.75,214.65,day5,day1
500405,SUPREME PETROCHEM LTD.,723.35,718.1,724.55,721.85,724,724.55,718.1,day2,day3
500407,SWARAJ ENGINES LTD.,2399.15,2387.3,2386.3,2390.05,2390,2399.15,2386.3,day3,day1
500408,TATA ELXSI LTD.,7654,7678,7693,7708.95,7710.95,7710.95,7654,day1,day5
500410,ACC LTD.,2686.6,2682.6,2684.6,2682.2,2683.75,2686.6,2682.2,day4,day1
