SecurityCode,companyName,Feb16
542772,360 ONE WAM LTD,25220.14
532259,APAR INDUSTRIES LTD.,25144.36
524208,AARTI INDUSTRIES LTD.,24991.03
500165,KANSAI NEROLAC PAINTS LTD.,24978.93
500770,TATA CHEMICALS LTD.,24906.25
532889,K.P.R. Mill Limited,24788.35
531531,HATSUN AGRO PRODUCT LTD.,24674.94
513599,HINDUSTAN COPPER LTD.,24673.62
532733,SUN TV NETWORK LTD.,24427.34
541770,CreditAccess Grameen Ltd,24374.98
532296,GLENMARK PHARMACEUTICALS LTD.,24337
543463,Vedant Fashions Ltd,24134.95
506076,GRINDWELL NORTON LTD.-$,24041.19
532221,SONATA SOFTWARE LTD.,23618.78
532636,IIFL Finance Ltd,23312.43
540975,Aster DM Healthcare Ltd,23277.31
532929,BRIGADE ENTERPRISES LTD.,23019.74
532497,RADICO KHAITAN LTD.,22990.35
500403,SUNDRAM FASTENERS LTD.,22990.14
532175,Cyient Limited,22951.8
532400,Birlasoft Ltd,22941.44
521064,TRIDENT LTD.,22860.46
543396,One 97 Communications Ltd,22773.21
540678,Cochin Shipyard Ltd,22393.44
535755,Aditya Birla Fashion and Retail Ltd,22333.43
540222,Laurus Labs Ltd,21884.71
500472,SKF India Ltd,21799.42
541956,IRCON International Ltd,21754.13
543663,Five-Star Business Finance Ltd,21583.54
520111,RATNAMANI METALS & TUBES LTD.-$,21570.81
507815,GILLETTE INDIA LTD.,21505.27
522113,TIMKEN INDIA LTD.,21211.68
500674,Sanofi India Ltd,21145.8
531162,EMAMI LTD.-$,21112.18
500680,PFIZER LTD.,21040.07
500870,CASTROL INDIA LTD.,21028.74
532702,GUJARAT STATE PETRONET LTD.,20946.35
539524,Dr. Lal PathLabs Ltd,20881.57
530517,RELAXO FOOTWEARS LTD.-$,20854.83
500260,The Ramco Cements Limited,20809.09
513375,CARBORUNDUM UNIVERSAL LTD.,20726.06
539083,Inox Wind Ltd,20533.13
504973,Cholamandalam Financial Holdings Ltd,20236.78
500233,KAJARIA CERAMICS LTD.,20193.95
522074,ELGI EQUIPMENTS LTD.,20003.3
500302,PIRAMAL ENTERPRISES LTD.,19975.97
543330,Devyani International Ltd,19926.82
533573,ALEMBIC PHARMACEUTICALS LTD.,19756.56
522275,GE T&D India Ltd,19725.83
531595,Capri Global Capital Limited,19660.38
540173,PNB Housing Finance Ltd,19403.38
503310,SWAN ENERGY LTD.,19284.42
543990,Signatureglobal (India) Ltd,19152.31
524816,NATCO PHARMA LTD.,19014.3
543768,NMDC Steel Ltd,18963.95
534091,MULTI COMMODITY EXCHANGE OF INDIA LTD.,18905.61
542920,Sumitomo Chemical India Ltd,18845.25
532659,IDFC LIMITED,18735.82
543299,Shyam Metalics and Energy Ltd,18683.69
500027,ATUL LTD.,18593.2
539876,Crompton Greaves Consumer Electricals Ltd,18576.47
500043,BATA INDIA LTD.,18419.92
